93,Afghanistan
355,Albania
213,Algeria
1684,American Samoa
376,Andorra
244,Angola
1264,Anguilla
1268,Antigua/Swaziland
54,Argentina
374,Armenia
297,Aruba
247,Ascension Island
61,Australia
672,Antarctica/Australian External Territories
43,Austria
994,Azerbaijan
1242,Congo Bahamas
973,Bahrain
880,Bangladesh
1246,Barbados
375,Belarus
32,Belgium
501,Belize
229,Benin
809,Bermuda/Dominican Republic
975,Bhutan
591,Bolivia
387,Bosnia and Hercegovina
267,Botswana
55,Brazil
284,British Virgin Islands
673,Brunei Darussalm
359,Bulgaria
226,Burkina Faso
257,Burundi
855,Cambodia/Khmer Republic (Cambodia/Kampuchea)
237,Cameroon
1,Canada/Caribbean Nations/USA
238,CapeVerde Islands
1345,Cayman Islands
236,Central African Republic
235,Chad
56,Chile
86,China (People's Republic)
57,Colombia
269,Comoros and Mayotte/Mayolte
682,Cook Islands
506,Costa Rica
385,Croatia
53,Cuba
357,Cyprus
420,Czech Republic
246,Diego Garcia
45,Denmark
767,Dominca
253,Djibouti
593,Ecuador
20,Egypt
503,El Salvador
240,Equatorial Guinea
291,Eritrea
372,Estonia
251,Ethiopia
500,Falkland Islands
298,Faroe (Faeroe) Islands (Denmark)
679,Fiji
358,Finland
33,France/Monaco
596,French Antilles/Martinique (French Antilles)
594,French Guiana
241,Gabon (Gabonese Republic)
220,Gambia
995,Georgia
49,Germany
233,Ghana
350,Gibraltar
30,Greece
299,Greenland
473,Grenada/Carricou
671,Guam
502,Guatemala
224,Guinea
245,Guinea-Bissau
592,Guyana
509,Haiti
504,Honduras
852,Hong Kong
36,Hungary
354,Iceland
91,India
62,Indonesia
98,Iran
964,Iraq
353,Ireland (Irish Republic; Eire)
972,Israel
39,Italy/Vatican City
225,Ivory Coast (La Cote d'Ivoire)
1876,Jamaica
81,Japan
962,Jordan
7,Kazakhstan/Russia/Tajikistan/Uzbekistan
254,Kenya
686,Kiribati Republic (Gilbert Islands)
850,North Korea
82,South Korea
965,Kuwait
996,Kyrgyz Republic
371,Latvia
856,Laos
961,Lebanon
266,Lesotho
231,Liberia
370,Lithuania
218,Libya
423,Liechtenstein
352,Luxembourg
853,Macau
389,Macedonia
261,Madagascar
265,Malawi
60,Malaysia
960,Maldives
223,Mali
356,Malta
692,Marshall Islands
222,Mauritania
230,Mauritius
52,Mexico
691,Micronesia (F.S. of Polynesia)
373,Moldova
976,Mongolia
1664,Montserrat
212,Morocco
258,Mozambique
95,Myanmar (former Burma)
264,Namibia (former South-West Africa)
674,Nauru
977,Nepal
31,Netherlands
599,Netherlands Antilles
869,Nevis/St. Kitts/Nevis
687,New Caledonia
64,New Zealand
505,Nicaragua
227,Niger
234,Nigeria
683,Niue
1670,Northern Mariana Islands
47,Norway
968,Oman
92,Pakistan
680,Palau
507,Panama
675,Papua New Guinea
595,Paraguay
51,Peru
63,Philippines
48,Poland
351,Portugal (includes Azores)
1787,Puerto Rico
974,Qatar
262,Reunion (France)
40,Romania
250,Rwanda (Rwandese Republic)
670,Saipan
378,San Marino
239,Sao Tome and Principe
966,Saudi Arabia
221,Senegal
381,Serbia and Montenegro/Yemen (People's Democratic Republic of)/Yugoslavia (discontinued)
248,Seychelles
232,Sierra Leone
65,Singapore
421,Slovakia
386,Slovenia
677,Solomon Islands
252,Somalia
27,South Africa
34,Spain
94,Sri Lanka
290,St. Helena
508,St. Pierre & Miquelon (France)
249,Sudan
597,Suriname
46,Sweden
41,Switzerland
963,Syrian Arab Republic (Syria)
689,Tahiti (French Polynesia)
886,Taiwan
255,Tanzania (includes Zanzibar)
66,Thailand
228,Togo (Togolese Republic)
690,Tokelau
676,Tonga
1868,Trinidad and Tobago
216,Tunisia
90,Turkey
993,Turkmenistan
688,Tuvalu (Ellice Islands)
256,Uganda
380,Ukraine
971,United Arab Emirates
44,United Kingdom
598,Uruguay
678,Vanuatu (New Hebrides)
58,Venezuela
84,Viet Nam
1340,Virgin Islands
681,Wallis and Futuna
685,Western Samoa
967,Yemen Arab Republic (North Yemen)
243,Zaire
260,Zambia
263,Zimbabwe
